Kata,Score,Avg Score,Won?,Karateka,Round #,Tournament,Opponent
Ohan Dai,39.9,7.98,FALSE,Taishi Tozaki,rr,2025 Hangzhou,Ryusei Ikeda
Gojushiho Sho,37.7,7.54,FALSE,Rick Sonnema,rr,2025 Hangzhou,Ryusei Ikeda
Anan,40.4,8.08,TRUE,Ryusei Ikeda,rr,2025 Hangzhou,Rick Sonnema
Unsu,39,7.8,FALSE,Mohammad Hussain,rr,2025 Hangzhou,Taishi Tozaki
Anan Dai,40.4,8.08,TRUE,Taishi Tozaki,rr,2025 Hangzhou,Mohammad Hussain
Gojushiho Dai,39.4,7.88,FALSE,Mohammad Hussain,rr,2025 Hangzhou,Ryusei Ikeda
Suparinpei,40.8,8.16,TRUE,Ryusei Ikeda,rr,2025 Hangzhou,Mohammad Hussain
Unsu,38.1,7.62,FALSE,Rick Sonnema,rr,2025 Hangzhou,Taishi Tozaki
Papuren,40.7,8.14,TRUE,Taishi Tozaki,rr,2025 Hangzhou,Rick Sonnema
Gojushiho Sho,38.8,7.76,FALSE,Gianluca Gallo,rr,2025 Hangzhou,Martin Romero Raul
Gojushiho,39.5,7.9,TRUE,Martin Romero Raul,rr,2025 Hangzhou,Gianluca Gallo
Sochin,40.8,8.16,TRUE,Ryuji Moto,rr,2025 Hangzhou,Ali Sofuoglu
Gojushiho Sho,40.2,8.04,FALSE,Ali Sofuoglu,rr,2025 Hangzhou,Ryuji Moto
Chibana,41,8.2,TRUE,Martin Romero Raul,rr,2025 Hangzhou,Ryuji Moto
Gojushiho Sho,40.9,8.18,FALSE,Ryuji Moto,rr,2025 Hangzhou,Martin Romero Raul
Unsu,38.6,7.72,FALSE,Gianluca Gallo,rr,2025 Hangzhou,Ali Sofuoglu
Nijushiho,40,8,TRUE,Ali Sofuoglu,rr,2025 Hangzhou,Gianluca Gallo
Gojushiho Dai,39.3,7.86,FALSE,Gianluca Gallo,rr,2025 Hangzhou,Ryuji Moto
Jitte,40.4,8.08,TRUE,Ryuji Moto,rr,2025 Hangzhou,Gianluca Gallo
Chatanyara,41.6,8.32,TRUE,Martin Romero Raul,rr,2025 Hangzhou,Ali Sofuoglu
Unsu,40.3,8.06,FALSE,Ali Sofuoglu,rr,2025 Hangzhou,Martin Romero Raul
Papuren,39.3,7.86,FALSE,Yuki Ujihara,rr,2025 Hangzhou,Anthony Vu
Ohan Dai,40.6,8.12,TRUE,Anthony Vu,rr,2025 Hangzhou,Yuki Ujihara
Chibana,38,7.6,FALSE,Howard Hung Ho Wai,rr,2025 Hangzhou,Mattia Busato
Gojushiho Sho,40,8,TRUE,Mattia Busato,rr,2025 Hangzhou,Howard Hung Ho Wai
Papuren,40.7,8.14,TRUE,Anthony Vu,rr,2025 Hangzhou,Howard Hung Ho Wai
Ohan Dai,38.4,7.68,FALSE,Howard Hung Ho Wai,rr,2025 Hangzhou,Anthony Vu
Kururunfa,39.5,7.9,FALSE,Yuki Ujihara,rr,2025 Hangzhou,Mattia Busato
Unsu,40.2,8.04,TRUE,Mattia Busato,rr,2025 Hangzhou,Yuki Ujihara
Shisochin,39.2,7.84,TRUE,Yuki Ujihara,rr,2025 Hangzhou,Howard Hung Ho Wai
Ohan,38.8,7.76,FALSE,Howard Hung Ho Wai,rr,2025 Hangzhou,Yuki Ujihara
Chibana,40.2,8.04,TRUE,Anthony Vu,rr,2025 Hangzhou,Mattia Busato
Gojushiho Dai,40.2,8.04,FALSE,Mattia Busato,rr,2025 Hangzhou,Anthony Vu
Ohan,40.6,8.12,TRUE,Sakichi Abe,rr,2025 Hangzhou,Tarik Koc
Chibana,36.9,7.38,FALSE,Tarik Koc,rr,2025 Hangzhou,Sakichi Abe
Ohan Dai,39.3,7.86,FALSE,Chen Chao Ching,rr,2025 Hangzhou,Ariel Torres
Kururunfa,41.2,8.24,TRUE,Ariel Torres,rr,2025 Hangzhou,Chen Chao Ching
Anan Dai,38.1,7.62,FALSE,Tarik Koc,rr,2025 Hangzhou,Chen Chao Ching
Suparinpei,39.8,7.96,TRUE,Chen Chao Ching,rr,2025 Hangzhou,Tarik Koc
Ohan Dai,40.7,8.14,FALSE,Sakichi Abe,rr,2025 Hangzhou,Ariel Torres
Ohan Dai,41.2,8.24,TRUE,Ariel Torres,rr,2025 Hangzhou,Sakichi Abe
Suparinpei,40.4,8.08,TRUE,Sakichi Abe,rr,2025 Hangzhou,Chen Chao Ching
Papuren,39.4,7.88,FALSE,Chen Chao Ching,rr,2025 Hangzhou,Sakichi Abe
Suparinpei,38.1,7.62,FALSE,Tarik Koc,rr,2025 Hangzhou,Ariel Torres
Shisochin,40.3,8.06,TRUE,Ariel Torres,rr,2025 Hangzhou,Tarik Koc
Nipaipo,39.4,7.88,TRUE,Roman Hrcka,rr,2025 Hangzhou,Casanova Guerrero Cleiver
Gojushiho Dai,38.4,7.68,FALSE,Casanova Guerrero Cleiver,rr,2025 Hangzhou,Roman Hrcka
Gojushiho Dai,39,7.8,FALSE,Almosawi Sayed Mohammed,rr,2025 Hangzhou,Ryonosuke Kikuchi
Anan,40.8,8.16,TRUE,Ryonosuke Kikuchi,rr,2025 Hangzhou,Almosawi Sayed Mohammed
Unsu,39,7.8,FALSE,Casanova Guerrero Cleiver,rr,2025 Hangzhou,Almosawi Sayed Mohammed
Kanku Sho,39.2,7.84,TRUE,Almosawi Sayed Mohammed,rr,2025 Hangzhou,Casanova Guerrero Cleiver
Chatanyara,40.3,8.06,FALSE,Roman Hrcka,rr,2025 Hangzhou,Ryonosuke Kikuchi
Papuren,41.3,8.26,TRUE,Ryonosuke Kikuchi,rr,2025 Hangzhou,Roman Hrcka
Papuren,40.5,8.1,TRUE,Roman Hrcka,rr,2025 Hangzhou,Almosawi Sayed Mohammed
Unsu,39.4,7.88,FALSE,Almosawi Sayed Mohammed,rr,2025 Hangzhou,Roman Hrcka
Gankaku,39.3,7.86,FALSE,Casanova Guerrero Cleiver,rr,2025 Hangzhou,Ryonosuke Kikuchi
Shisochin,41,8.2,TRUE,Ryonosuke Kikuchi,rr,2025 Hangzhou,Casanova Guerrero Cleiver
Gojushiho Sho,40.9,8.18,TRUE,Alessio Ghinami,rr,2025 Hangzhou,Almosawi Sayed Salman
Unsu,39.8,7.96,FALSE,Almosawi Sayed Salman,rr,2025 Hangzhou,Alessio Ghinami
Suparinpei,40.2,8.04,FALSE,Rey Chinen,rr,2025 Hangzhou,Kazumasa Moto
Gojushiho Dai,41.6,8.32,TRUE,Kazumasa Moto,rr,2025 Hangzhou,Rey Chinen
Kanku Sho,39.7,7.94,FALSE,Almosawi Sayed Salman,rr,2025 Hangzhou,Rey Chinen
Chatanyara,40.7,8.14,TRUE,Rey Chinen,rr,2025 Hangzhou,Almosawi Sayed Salman
Gankaku,41.2,8.24,FALSE,Alessio Ghinami,rr,2025 Hangzhou,Kazumasa Moto
Gojushiho Sho,42,8.4,TRUE,Kazumasa Moto,rr,2025 Hangzhou,Alessio Ghinami
Gojushiho Dai,41.1,8.22,TRUE,Alessio Ghinami,rr,2025 Hangzhou,Rey Chinen
Papuren,40.9,8.18,FALSE,Rey Chinen,rr,2025 Hangzhou,Alessio Ghinami
Gojushiho Sho,39.7,7.94,FALSE,Almosawi Sayed Salman,rr,2025 Hangzhou,Kazumasa Moto
Sochin,41.7,8.34,TRUE,Kazumasa Moto,rr,2025 Hangzhou,Almosawi Sayed Salman
Anan Dai,40.8,8.16,TRUE,Yasuhiro Machida,rr,2025 Hangzhou,Adam Ellithy
Gojushiho Dai,38.8,7.76,FALSE,Adam Ellithy,rr,2025 Hangzhou,Yasuhiro Machida
Suparinpei,40.5,8.1,TRUE,Gakuji Tozaki,rr,2025 Hangzhou,James Harrison
Kururunfa,38.8,7.76,FALSE,James Harrison,rr,2025 Hangzhou,Gakuji Tozaki
Gojushiho Sho,39.5,7.9,FALSE,Adam Ellithy,rr,2025 Hangzhou,Gakuji Tozaki
Anan,40.7,8.14,TRUE,Gakuji Tozaki,rr,2025 Hangzhou,Adam Ellithy
Chatanyara,40.8,8.16,TRUE,Yasuhiro Machida,rr,2025 Hangzhou,James Harrison
Suparinpei,39.2,7.84,FALSE,James Harrison,rr,2025 Hangzhou,Yasuhiro Machida
Suparinpei,41.3,8.26,TRUE,Yasuhiro Machida,rr,2025 Hangzhou,Gakuji Tozaki
Ohan Dai,41,8.2,FALSE,Gakuji Tozaki,rr,2025 Hangzhou,Yasuhiro Machida
Unsu,39.5,7.9,FALSE,Adam Ellithy,rr,2025 Hangzhou,James Harrison
Papuren,40.8,8.16,TRUE,James Harrison,rr,2025 Hangzhou,Adam Ellithy
Gojushiho Sho,40.2,8.04,TRUE,Alessandro Iodice,rr,2025 Hangzhou,Enes Ozdemir
Sochin,39.9,7.98,FALSE,Enes Ozdemir,rr,2025 Hangzhou,Alessandro Iodice
Suparinpei,40,8,FALSE,Yaroslav Fedorov,rr,2025 Hangzhou,Kakeru Nishiyama
Shisochin,41.9,8.38,TRUE,Kakeru Nishiyama,rr,2025 Hangzhou,Yaroslav Fedorov
Gojushiho Sho,40.4,8.08,TRUE,Enes Ozdemir,rr,2025 Hangzhou,Yaroslav Fedorov
Ohan Dai,39.9,7.98,FALSE,Yaroslav Fedorov,rr,2025 Hangzhou,Enes Ozdemir
Sochin,39.9,7.98,FALSE,Alessandro Iodice,rr,2025 Hangzhou,Kakeru Nishiyama
Kururunfa,41.8,8.36,TRUE,Kakeru Nishiyama,rr,2025 Hangzhou,Alessandro Iodice
Unsu,40.9,8.18,TRUE,Alessandro Iodice,rr,2025 Hangzhou,Yaroslav Fedorov
Anan Dai,39.5,7.9,FALSE,Yaroslav Fedorov,rr,2025 Hangzhou,Alessandro Iodice
Gankaku,40.7,8.14,FALSE,Enes Ozdemir,rr,2025 Hangzhou,Kakeru Nishiyama
Seisan,42.8,8.56,TRUE,Kakeru Nishiyama,rr,2025 Hangzhou,Enes Ozdemir
Ohan Dai,42,8.4,FALSE,Ryusei Ikeda,r1,2025 Hangzhou,Martin Romero Raul
Suparinpei,42.2,8.44,TRUE,Martin Romero Raul,r1,2025 Hangzhou,Ryusei Ikeda
Anan Dai,41.5,8.3,FALSE,Anthony Vu,r1,2025 Hangzhou,Ariel Torres
Anan,42.8,8.56,TRUE,Ariel Torres,r1,2025 Hangzhou,Anthony Vu
Suparinpei,42.1,8.42,FALSE,Ryonosuke Kikuchi,r1,2025 Hangzhou,Kazumasa Moto
Unsu,43.3,8.66,TRUE,Kazumasa Moto,r1,2025 Hangzhou,Ryonosuke Kikuchi
Chibana,41.8,8.36,FALSE,Yasuhiro Machida,r1,2025 Hangzhou,Kakeru Nishiyama
Papuren,43.7,8.74,TRUE,Kakeru Nishiyama,r1,2025 Hangzhou,Yasuhiro Machida
Anan,42,8.4,FALSE,Martin Romero Raul,r2,2025 Hangzhou,Ariel Torres
Anan Dai,43.2,8.64,TRUE,Ariel Torres,r2,2025 Hangzhou,Martin Romero Raul
Gankaku,43.2,8.64,FALSE,Kazumasa Moto,r2,2025 Hangzhou,Kakeru Nishiyama
Suparinpei,44.2,8.84,TRUE,Kakeru Nishiyama,r2,2025 Hangzhou,Kazumasa Moto
Ohan Dai,43.3,8.66,FALSE,Ariel Torres,r3,2025 Hangzhou,Kakeru Nishiyama
Chibana,44.1,8.82,TRUE,Kakeru Nishiyama,r3,2025 Hangzhou,Ariel Torres
Anan,42,8.4,TRUE,Anthony Vu,rpc,2025 Hangzhou,Martin Romero Raul
Chibana,40.4,8.08,FALSE,Martin Romero Raul,rpc,2025 Hangzhou,Anthony Vu
Papuren,41.5,8.3,FALSE,Yasuhiro Machida,rpc,2025 Hangzhou,Kazumasa Moto
Gojushiho Sho,43,8.6,TRUE,Kazumasa Moto,rpc,2025 Hangzhou,Yasuhiro Machida
Papuren,39.9,7.98,TRUE,Taishi Tozaki,rr,2025 Cairo,Adam Ellithy
Ohan Dai,38,7.6,FALSE,Adam Ellithy,rr,2025 Cairo,Taishi Tozaki
Ohan Dai,41.3,8.26,TRUE,Sakichi Abe,rr,2025 Cairo,Enes Ozdemir
Kanku Sho,41.1,8.22,FALSE,Enes Ozdemir,rr,2025 Cairo,Sakichi Abe
,40,8,FALSE,Adam Ellithy,rr,2025 Cairo,Sakichi Abe
,41.8,8.36,TRUE,Sakichi Abe,rr,2025 Cairo,Adam Ellithy
,41,8.2,FALSE,Taishi Tozaki,rr,2025 Cairo,Enes Ozdemir
,41.9,8.38,TRUE,Enes Ozdemir,rr,2025 Cairo,Taishi Tozaki
,40.9,8.18,FALSE,Taishi Tozaki,rr,2025 Cairo,Sakichi Abe
,42.6,8.52,TRUE,Sakichi Abe,rr,2025 Cairo,Taishi Tozaki
Unsu,,,FALSE,Adam Ellithy,rr,2025 Cairo,Enes Ozdemir
Gojushiho Dai,,,TRUE,Enes Ozdemir,rr,2025 Cairo,Adam Ellithy
Gojushiho Dai,38.2,7.64,FALSE,Casanova Guerrero Cleiver,rr,2025 Cairo,Gakuji Tozaki
Ohan,40.6,8.12,TRUE,Gakuji Tozaki,rr,2025 Cairo,Casanova Guerrero Cleiver
Gojushiho Sho,39.9,7.98,FALSE,Almosawi Sayed Salman,rr,2025 Cairo,Kazumasa Moto
Enpi,41.7,8.34,TRUE,Kazumasa Moto,rr,2025 Cairo,Almosawi Sayed Salman
,41,8.2,TRUE,Gakuji Tozaki,rr,2025 Cairo,Almosawi Sayed Salman
,39.9,7.98,FALSE,Almosawi Sayed Salman,rr,2025 Cairo,Gakuji Tozaki
,38.2,7.64,FALSE,Casanova Guerrero Cleiver,rr,2025 Cairo,Kazumasa Moto
,41.8,8.36,TRUE,Kazumasa Moto,rr,2025 Cairo,Casanova Guerrero Cleiver
,38.6,7.72,FALSE,Casanova Guerrero Cleiver,rr,2025 Cairo,Almosawi Sayed Salman
,39.9,7.98,TRUE,Almosawi Sayed Salman,rr,2025 Cairo,Casanova Guerrero Cleiver
,40.3,8.06,FALSE,Gakuji Tozaki,rr,2025 Cairo,Kazumasa Moto
,41.7,8.34,TRUE,Kazumasa Moto,rr,2025 Cairo,Gakuji Tozaki
,38.9,7.78,FALSE,Howard Hung Ho Wai,rr,2025 Cairo,Martin Romero Raul
,40.5,8.1,TRUE,Martin Romero Raul,rr,2025 Cairo,Howard Hung Ho Wai
,39.7,7.94,TRUE,Aoi Funada,rr,2025 Cairo,Yaroslav Fedorov
,37.9,7.58,FALSE,Yaroslav Fedorov,rr,2025 Cairo,Aoi Funada
,40.9,8.18,TRUE,Martin Romero Raul,rr,2025 Cairo,Aoi Funada
,40.3,8.06,FALSE,Aoi Funada,rr,2025 Cairo,Martin Romero Raul
,39.7,7.94,TRUE,Howard Hung Ho Wai,rr,2025 Cairo,Yaroslav Fedorov
,38.1,7.62,FALSE,Yaroslav Fedorov,rr,2025 Cairo,Howard Hung Ho Wai
Chibana,39.8,7.96,FALSE,Howard Hung Ho Wai,rr,2025 Cairo,Aoi Funada
Suparinpei,40.3,8.06,TRUE,Aoi Funada,rr,2025 Cairo,Howard Hung Ho Wai
Anan,40.9,8.18,TRUE,Martin Romero Raul,rr,2025 Cairo,Yaroslav Fedorov
Anan Dai,38.8,7.76,FALSE,Yaroslav Fedorov,rr,2025 Cairo,Martin Romero Raul
,40.1,8.02,TRUE,Ryonosuke Kikuchi,rr,2025 Cairo,Manuel Grazia
,38.8,7.76,FALSE,Manuel Grazia,rr,2025 Cairo,Ryonosuke Kikuchi
,39.9,7.98,FALSE,Roman Hrcka,rr,2025 Cairo,Ariel Torres
,41.3,8.26,TRUE,Ariel Torres,rr,2025 Cairo,Roman Hrcka
,39.1,7.82,FALSE,Manuel Grazia,rr,2025 Cairo,Roman Hrcka
,40.3,8.06,TRUE,Roman Hrcka,rr,2025 Cairo,Manuel Grazia
,41.1,8.22,FALSE,Ryonosuke Kikuchi,rr,2025 Cairo,Ariel Torres
,41.5,8.3,TRUE,Ariel Torres,rr,2025 Cairo,Ryonosuke Kikuchi
,40.7,8.14,FALSE,Ryonosuke Kikuchi,rr,2025 Cairo,Roman Hrcka
,40.9,8.18,TRUE,Roman Hrcka,rr,2025 Cairo,Ryonosuke Kikuchi
Ohan Dai,40.2,8.04,FALSE,Manuel Grazia,rr,2025 Cairo,Ariel Torres
Shisochin,42.1,8.42,TRUE,Ariel Torres,rr,2025 Cairo,Manuel Grazia
Kururunfa,41.4,8.28,TRUE,Yuto Watanabe,rr,2025 Cairo,Yuki Ujihara
Ohan Dai,39.7,7.94,FALSE,Yuki Ujihara,rr,2025 Cairo,Yuto Watanabe
Suparinpei,41.4,8.28,FALSE,Rey Chinen,rr,2025 Cairo,Ryusei Ikeda
Anan Dai,40.3,8.06,TRUE,Ryusei Ikeda,rr,2025 Cairo,Rey Chinen
,40,8,FALSE,Yuki Ujihara,rr,2025 Cairo,Rey Chinen
,41,8.2,TRUE,Rey Chinen,rr,2025 Cairo,Yuki Ujihara
,41.9,8.38,FALSE,Yuto Watanabe,rr,2025 Cairo,Ryusei Ikeda
,41.1,8.22,TRUE,Ryusei Ikeda,rr,2025 Cairo,Yuto Watanabe
,,,TRUE,Yuto Watanabe,rr,2025 Cairo,Rey Chinen
,,,FALSE,Rey Chinen,rr,2025 Cairo,Yuto Watanabe
Suparinpei,40.9,8.18,FALSE,Yuki Ujihara,rr,2025 Cairo,Ryusei Ikeda
Anan,41.9,8.38,TRUE,Ryusei Ikeda,rr,2025 Cairo,Yuki Ujihara
,39.6,7.92,FALSE,Almosawi Sayed Mohammed,rr,2025 Cairo,Anthony Vu
,41,8.2,TRUE,Anthony Vu,rr,2025 Cairo,Almosawi Sayed Mohammed
,41.2,8.24,TRUE,Ryuji Moto,rr,2025 Cairo,Alessio Ghinami
,39.7,7.94,FALSE,Alessio Ghinami,rr,2025 Cairo,Ryuji Moto
Ohan Dai,41,8.2,FALSE,Anthony Vu,rr,2025 Cairo,Ryuji Moto
Gojushiho Sho,41.1,8.22,TRUE,Ryuji Moto,rr,2025 Cairo,Anthony Vu
Kanku Sho,39.9,7.98,FALSE,Almosawi Sayed Mohammed,rr,2025 Cairo,Alessio Ghinami
Gojushiho Sho,41.5,8.3,TRUE,Alessio Ghinami,rr,2025 Cairo,Almosawi Sayed Mohammed
Unsu,39.7,7.94,FALSE,Almosawi Sayed Mohammed,rr,2025 Cairo,Ryuji Moto
Enpi,41.3,8.26,TRUE,Ryuji Moto,rr,2025 Cairo,Almosawi Sayed Mohammed
Chibana,41,8.2,FALSE,Anthony Vu,rr,2025 Cairo,Alessio Ghinami
Gojushiho Dai,41.5,8.3,TRUE,Alessio Ghinami,rr,2025 Cairo,Anthony Vu
,40.6,8.12,TRUE,Kotaro Ohata,rr,2025 Cairo,Gianluca Gallo
,39.3,7.86,FALSE,Gianluca Gallo,rr,2025 Cairo,Kotaro Ohata
Kishimoto,37.5,7.5,FALSE,Gianluca Greco,rr,2025 Cairo,Eiji Otsuki
Nipaipo,39.8,7.96,TRUE,Eiji Otsuki,rr,2025 Cairo,Gianluca Greco
,39.6,7.92,TRUE,Gianluca Gallo,rr,2025 Cairo,Gianluca Greco
,37.5,7.5,FALSE,Gianluca Greco,rr,2025 Cairo,Gianluca Gallo
,41.2,8.24,TRUE,Kotaro Ohata,rr,2025 Cairo,Eiji Otsuki
,39.6,7.92,FALSE,Eiji Otsuki,rr,2025 Cairo,Kotaro Ohata
Nipaipo,40.7,8.14,TRUE,Kotaro Ohata,rr,2025 Cairo,Gianluca Greco
Suparinpei,37.5,7.5,FALSE,Gianluca Greco,rr,2025 Cairo,Kotaro Ohata
,40.1,8.02,TRUE,Gianluca Gallo,rr,2025 Cairo,Eiji Otsuki
,38.8,7.76,FALSE,Eiji Otsuki,rr,2025 Cairo,Gianluca Gallo
,38.8,7.76,TRUE,Petru Comanescu,rr,2025 Cairo,Adam Bardos
,37.4,7.48,FALSE,Adam Bardos,rr,2025 Cairo,Petru Comanescu
,39.1,7.82,FALSE,Mattia Busato,rr,2025 Cairo,Kakeru Nishiyama
,41.8,8.36,TRUE,Kakeru Nishiyama,rr,2025 Cairo,Mattia Busato
,38,7.6,FALSE,Adam Bardos,rr,2025 Cairo,Mattia Busato
,39.5,7.9,TRUE,Mattia Busato,rr,2025 Cairo,Adam Bardos
Sochin,38.4,7.68,FALSE,Petru Comanescu,rr,2025 Cairo,Kakeru Nishiyama
Kururunfa,41,8.2,TRUE,Kakeru Nishiyama,rr,2025 Cairo,Petru Comanescu
,39.6,7.92,TRUE,Petru Comanescu,rr,2025 Cairo,Mattia Busato
,39,7.8,FALSE,Mattia Busato,rr,2025 Cairo,Petru Comanescu
Ohan Dai,38.1,7.62,FALSE,Adam Bardos,rr,2025 Cairo,Kakeru Nishiyama
,41.5,8.3,TRUE,Kakeru Nishiyama,rr,2025 Cairo,Adam Bardos
Anan Dai,42,8.4,FALSE,Sakichi Abe,r1,2025 Cairo,Kazumasa Moto
Gojushiho Dai,42.4,8.48,TRUE,Kazumasa Moto,r1,2025 Cairo,Sakichi Abe
Suparinpei,41.4,8.28,FALSE,Martin Romero Raul,r1,2025 Cairo,Ariel Torres
Anan,42.4,8.48,TRUE,Ariel Torres,r1,2025 Cairo,Martin Romero Raul
Anan Dai,42,8.4,TRUE,Rey Chinen,r1,2025 Cairo,Ryuji Moto
Unsu,40.8,8.16,FALSE,Ryuji Moto,r1,2025 Cairo,Rey Chinen
Seisan,40.7,8.14,FALSE,Kotaro Ohata,r1,2025 Cairo,Kakeru Nishiyama
Papuren,42.2,8.44,TRUE,Kakeru Nishiyama,r1,2025 Cairo,Kotaro Ohata
Unsu,42.2,8.44,FALSE,Kazumasa Moto,r2,2025 Cairo,Ariel Torres
Anan Dai,43.2,8.64,TRUE,Ariel Torres,r2,2025 Cairo,Kazumasa Moto
Anan,42.2,8.44,FALSE,Rey Chinen,r2,2025 Cairo,Kakeru Nishiyama
Suparinpei,44.1,8.82,TRUE,Kakeru Nishiyama,r2,2025 Cairo,Rey Chinen
Ohan Dai,43.7,8.74,FALSE,Ariel Torres,r3,2025 Cairo,Kakeru Nishiyama
Chibana,45.5,9.1,TRUE,Kakeru Nishiyama,r3,2025 Cairo,Ariel Torres
Gojushiho,42.6,8.52,TRUE,Martin Romero Raul,rpc,2025 Cairo,Kazumasa Moto
Gojushiho Sho,44.7,8.94,FALSE,Kazumasa Moto,rpc,2025 Cairo,Martin Romero Raul
Papuren,43.1,8.62,FALSE,Kotaro Ohata,rpc,2025 Cairo,Rey Chinen
Papuren,42.9,8.58,TRUE,Rey Chinen,rpc,2025 Cairo,Kotaro Ohata
Gojushiho Sho,38.6,7.72,FALSE,Giuseppe Panagia,rr,2025 Rabat,Ryuji Moto
Enpi,41.1,8.22,TRUE,Ryuji Moto,rr,2025 Rabat,Giuseppe Panagia
Gojushiho Sho,37.9,7.58,FALSE,Bu Khawwah Yaqoub,rr,2025 Rabat,Anthony Vu
Papuren,40,8,TRUE,Anthony Vu,rr,2025 Rabat,Bu Khawwah Yaqoub
Jitte,40.6,8.12,TRUE,Ryuji Moto,rr,2025 Rabat,Bu Khawwah Yaqoub
Unsu,37.7,7.54,FALSE,Bu Khawwah Yaqoub,rr,2025 Rabat,Ryuji Moto
Gankaku,39,7.8,FALSE,Giuseppe Panagia,rr,2025 Rabat,Anthony Vu
Ohan Dai,40.1,8.02,TRUE,Anthony Vu,rr,2025 Rabat,Giuseppe Panagia
Gojushiho Dai,39.2,7.84,TRUE,Giuseppe Panagia,rr,2025 Rabat,Bu Khawwah Yaqoub
Kanku Sho,37.4,7.48,FALSE,Bu Khawwah Yaqoub,rr,2025 Rabat,Giuseppe Panagia
Gojushiho Sho,41.1,8.22,TRUE,Ryuji Moto,rr,2025 Rabat,Anthony Vu
Chibana,40.7,8.14,FALSE,Anthony Vu,rr,2025 Rabat,Ryuji Moto
Ohan,38.8,7.76,FALSE,Howard Hung Ho Wai,rr,2025 Rabat,Roman Hrcka
Nipaipo,39.1,7.82,TRUE,Roman Hrcka,rr,2025 Rabat,Howard Hung Ho Wai
Papuren,39.8,7.96,FALSE,Rey Chinen,rr,2025 Rabat,Kazumasa Moto
Gojushiho Dai,41.9,8.38,TRUE,Kazumasa Moto,rr,2025 Rabat,Rey Chinen
Papuren,39.8,7.96,FALSE,Roman Hrcka,rr,2025 Rabat,Rey Chinen
Suparinpei,41.1,8.22,TRUE,Rey Chinen,rr,2025 Rabat,Roman Hrcka
Ohan Dai,39.1,7.82,FALSE,Howard Hung Ho Wai,rr,2025 Rabat,Kazumasa Moto
Enpi,41.9,8.38,TRUE,Kazumasa Moto,rr,2025 Rabat,Howard Hung Ho Wai
Chibana,39.2,7.84,FALSE,Howard Hung Ho Wai,rr,2025 Rabat,Rey Chinen
Chatanyara,40.9,8.18,TRUE,Rey Chinen,rr,2025 Rabat,Howard Hung Ho Wai
Chatanyara,40.1,8.02,FALSE,Roman Hrcka,rr,2025 Rabat,Kazumasa Moto
Sochin,42.2,8.44,TRUE,Kazumasa Moto,rr,2025 Rabat,Roman Hrcka
Gojushiho Sho,39.6,7.92,FALSE,Adam Ellithy,rr,2025 Rabat,Mattia Busato
Gojushiho Sho,41.1,8.22,TRUE,Mattia Busato,rr,2025 Rabat,Adam Ellithy
Ohan,41.9,8.38,TRUE,Sakichi Abe,rr,2025 Rabat,Gakuji Tozaki
Suparinpei,40.8,8.16,FALSE,Gakuji Tozaki,rr,2025 Rabat,Sakichi Abe
Unsu,40.1,8.02,FALSE,Mattia Busato,rr,2025 Rabat,Sakichi Abe
Anan,42.2,8.44,TRUE,Sakichi Abe,rr,2025 Rabat,Mattia Busato
Unsu,39.2,7.84,FALSE,Adam Ellithy,rr,2025 Rabat,Gakuji Tozaki
Anan,41.6,8.32,TRUE,Gakuji Tozaki,rr,2025 Rabat,Adam Ellithy
Gankaku,38.4,7.68,FALSE,Adam Ellithy,rr,2025 Rabat,Sakichi Abe
Seipai,41.6,8.32,TRUE,Sakichi Abe,rr,2025 Rabat,Adam Ellithy
Gojushiho Dai,40.8,8.16,FALSE,Mattia Busato,rr,2025 Rabat,Gakuji Tozaki
Anan Dai,41.9,8.38,TRUE,Gakuji Tozaki,rr,2025 Rabat,Mattia Busato
Gojushiho Dai,38.4,7.68,FALSE,Mohammad Hussain,rr,2025 Rabat,Ryonosuke Kikuchi
Kururunfa,41.1,8.22,TRUE,Ryonosuke Kikuchi,rr,2025 Rabat,Mohammad Hussain
Unsu,39.6,7.92,FALSE,Vladimir Mijac,rr,2025 Rabat,Ariel Torres
Kururunfa,42,8.4,TRUE,Ariel Torres,rr,2025 Rabat,Vladimir Mijac
Papuren,42,8.4,TRUE,Ryonosuke Kikuchi,rr,2025 Rabat,Vladimir Mijac
Gojushiho Dai,40.2,8.04,FALSE,Vladimir Mijac,rr,2025 Rabat,Ryonosuke Kikuchi
Unsu,39.1,7.82,FALSE,Mohammad Hussain,rr,2025 Rabat,Ariel Torres
Shisochin,41.7,8.34,TRUE,Ariel Torres,rr,2025 Rabat,Mohammad Hussain
Gojushiho Sho,39.2,7.84,FALSE,Mohammad Hussain,rr,2025 Rabat,Vladimir Mijac
Gojushiho Sho,40.4,8.08,TRUE,Vladimir Mijac,rr,2025 Rabat,Mohammad Hussain
Ohan Dai,41.5,8.3,FALSE,Ryonosuke Kikuchi,rr,2025 Rabat,Ariel Torres
Ohan Dai,43.2,8.64,TRUE,Ariel Torres,rr,2025 Rabat,Ryonosuke Kikuchi
Gojushiho Dai,39.8,7.96,FALSE,Almosawi Sayed Salman,rr,2025 Rabat,Kotaro Ohata
Kururunfa,40.7,8.14,TRUE,Kotaro Ohata,rr,2025 Rabat,Almosawi Sayed Salman
Chibana,38.6,7.72,FALSE,Adam Bardos,rr,2025 Rabat,James Harrison
Papuren,39.1,7.82,TRUE,James Harrison,rr,2025 Rabat,Adam Bardos
