Kata,Score,Avg Score,Won?,Karateka,Round #,Tournament,Opponent
Unsu,43.5,8.7,TRUE,Ryuji Moto,r2,2024 Paris,Ariel Torres
Kanku Sho,43.5,8.7,FALSE,Ali Sofuoglu,r2,2024 Paris,Kakeru Nishiyama
Suparinpei,44.2,8.84,TRUE,Kakeru Nishiyama,r2,2024 Paris,Ali Sofuoglu
Sochin,43.6,8.72,FALSE,Ryuji Moto,r3,2024 Paris,Kakeru Nishiyama
Papuren,45.1,9.02,TRUE,Kakeru Nishiyama,r3,2024 Paris,Ryuji Moto
Papuren,43.1,8.62,FALSE,Ryonosuke Kikuchi,rpc,2024 Paris,Ariel Torres
Anan,44.2,8.84,TRUE,Ariel Torres,rpc,2024 Paris,Ryonosuke Kikuchi
Gojushiho Dai,43.4,8.68,FALSE,Mattia Busato,rpc,2024 Paris,Ali Sofuoglu
Gojushiho Sho,44.9,8.98,TRUE,Ali Sofuoglu,rpc,2024 Paris,Mattia Busato
Gojushiho Sho,40.9,8.18,TRUE,Almosawi Sayed Salman,rr,2024 Antalya,Adam Bardos
Papuren,39,7.8,FALSE,Adam Bardos,rr,2024 Antalya,Almosawi Sayed Salman
Unsu,42,8.4,FALSE,Enes Ozdemir,rr,2024 Antalya,Ryuji Moto
Sochin,42.9,8.58,TRUE,Ryuji Moto,rr,2024 Antalya,Enes Ozdemir
Ohan Dai,40.3,8.06,FALSE,Adam Bardos,rr,2024 Antalya,Enes Ozdemir
Sochin,41.7,8.34,TRUE,Enes Ozdemir,rr,2024 Antalya,Adam Bardos
Unsu,41.1,8.22,FALSE,Almosawi Sayed Salman,rr,2024 Antalya,Ryuji Moto
Unsu,41.2,8.24,TRUE,Ryuji Moto,rr,2024 Antalya,Almosawi Sayed Salman
Kanku Sho,41.6,8.32,FALSE,Almosawi Sayed Salman,rr,2024 Antalya,Enes Ozdemir
Gojushiho Sho,42.8,8.56,TRUE,Enes Ozdemir,rr,2024 Antalya,Almosawi Sayed Salman
Suparinpei,40.7,8.14,TRUE,Adam Bardos,rr,2024 Antalya,Ryuji Moto
Enpi,40.2,8.04,FALSE,Ryuji Moto,rr,2024 Antalya,Adam Bardos
Seipai,39.8,7.96,FALSE,Yuki Ujihara,rr,2024 Antalya,Sakichi Abe
Ohan,42.3,8.46,TRUE,Sakichi Abe,rr,2024 Antalya,Yuki Ujihara
Suparinpei,40.8,8.16,FALSE,Yuki Ujihara,rr,2024 Antalya,Ali Sofuoglu
Gojushiho Sho,42.5,8.5,TRUE,Ali Sofuoglu,rr,2024 Antalya,Yuki Ujihara
Ohan Dai,42.4,8.48,TRUE,Sakichi Abe,rr,2024 Antalya,Ali Sofuoglu
Gojushiho Dai,42.3,8.46,FALSE,Ali Sofuoglu,rr,2024 Antalya,Sakichi Abe
Gojushiho Dai,40.4,8.08,TRUE,Almosawi Sayed Mohammed,rr,2024 Antalya,Roman Hrcka
Papuren,39.6,7.92,FALSE,Roman Hrcka,rr,2024 Antalya,Almosawi Sayed Mohammed
Unsu,40.2,8.04,FALSE,Kutluhan Duran,rr,2024 Antalya,Ryusei Ikeda
Ohan,41.7,8.34,TRUE,Ryusei Ikeda,rr,2024 Antalya,Kutluhan Duran
Ohan Dai,39.6,7.92,FALSE,Roman Hrcka,rr,2024 Antalya,Kutluhan Duran
Gojushiho Sho,40.1,8.02,TRUE,Kutluhan Duran,rr,2024 Antalya,Roman Hrcka
Gojushiho Sho,40.7,8.14,FALSE,Almosawi Sayed Mohammed,rr,2024 Antalya,Ryusei Ikeda
Anan Dai,41.4,8.28,TRUE,Ryusei Ikeda,rr,2024 Antalya,Almosawi Sayed Mohammed
Unu,40.6,8.12,TRUE,Almosawi Sayed Mohammed,rr,2024 Antalya,Kutluhan Duran
Kanku Sho,40.2,8.04,FALSE,Kutluhan Duran,rr,2024 Antalya,Almosawi Sayed Mohammed
Ohan,39.9,7.98,FALSE,Roman Hrcka,rr,2024 Antalya,Ryusei Ikeda
Anan,41.8,8.36,TRUE,Ryusei Ikeda,rr,2024 Antalya,Roman Hrcka
Gojushiho Sho,40.4,8.08,TRUE,Furkan Kaynar,rr,2024 Antalya,Matthew Gruitia
Anan Dai,38.5,7.7,FALSE,Matthew Gruitia,rr,2024 Antalya,Furkan Kaynar
Unsu,40.4,8.08,FALSE,Furkan Kaynar,rr,2024 Antalya,Ariel Torres
Kururunfa,41.6,8.32,TRUE,Ariel Torres,rr,2024 Antalya,Furkan Kaynar
Kururunfa,39.2,7.84,FALSE,Matthew Gruitia,rr,2024 Antalya,Ariel Torres
Ohan,41.4,8.28,TRUE,Ariel Torres,rr,2024 Antalya,Matthew Gruitia
Ohan Dai,38.5,7.7,FALSE,James Harrison,rr,2024 Antalya,Mohammad Hussain
Gojushiho Sho,39.8,7.96,TRUE,Mohammad Hussain,rr,2024 Antalya,James Harrison
Shishochin,41.9,8.38,TRUE,Ryonosuke Kikuchi,rr,2024 Antalya,Omar Diop
Kanku Sho,37.6,7.52,FALSE,Omar Diop,rr,2024 Antalya,Ryonosuke Kikuchi
Unsu,40.5,8.1,FALSE,Mohammad Hussain,rr,2024 Antalya,Ryonosuke Kikuchi
Anan Dai,42.4,8.48,TRUE,Ryonosuke Kikuchi,rr,2024 Antalya,Mohammad Hussain
